element_symbol,element_name,type,subtype,class,subclass,biosample_acc,asm_acc,target_acc,start_on_contig,end_on_contig,strand,pct_ref_coverage,pct_ref_identity
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02138583,GCA_000567685.1,PDT000022771.1,836993,838810,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN18874762,GCA_019927685.1,PDT001128411.2,14678,16495,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN18874693,GCA_019930285.1,PDT001128535.2,14018,15835,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN23219801,GCA_020985265.1,PDT001185294.1,45628,47445,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN35159639,GCA_031046175.2,PDT001744135.2,8330,10147,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04014938,GCA_003571645.1,PDT000380980.1,128793,130610,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN22169093,GCA_020552755.1,PDT001161722.1,148589,150406,+,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02138585,GCA_000567665.1,PDT000022770.1,121693,123510,-,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04014892,GCA_022316255.1,PDT000115260.2,15472,17289,+,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN18874767,GCA_019927525.1,PDT001128403.2,32533,34350,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02141981,GCA_000417225.2,PDT000015896.3,115326,117143,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04448239,GCA_022315985.1,PDT000130445.2,90,1907,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02356605,GCA_000566905.1,PDT000022733.1,66237,68054,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN07450844,GCA_022299635.1,PDT000231449.2,26143,27960,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04014948,GCA_002202275.1,PDT000219972.1,480747,482564,+,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN18874763,GCA_019927585.1,PDT001128406.2,15990,17807,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02581273,GCA_000694915.1,PDT000030692.1,20889,22706,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN34111336,GCA_029621445.1,PDT001682689.1,15440,17257,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN35159615,GCA_031045065.2,PDT001744192.2,8302,10119,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN10086826,GCA_014840325.1,PDT000855222.1,6402,8219,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02138635,GCA_000474885.1,PDT000018103.2,60842,62659,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02141977,GCA_000406685.1,PDT000016121.2,15281,17098,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02142021,GCA_000417045.1,PDT000015900.2,15279,17096,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02142001,GCA_000409105.1,PDT000016141.2,17860,19677,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04014987,GCA_002180175.1,PDT000217000.1,76598,78415,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04014907,GCA_002948565.1,PDT000290062.1,72029,73846,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN05213495,GCA_001720845.1,PDT000148429.1,15772,17589,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04014956,GCA_002056385.1,PDT000197022.1,200634,202451,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04448243,GCA_022315895.1,PDT000130453.2,5178,6995,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN35159602,GCA_031045875.2,PDT001744152.2,25693,27510,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN35159570,GCA_031045035.2,PDT001744193.2,38865,40682,+,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN10086700,GCA_014946935.1,PDT000870019.1,19443,21260,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN18874705,GCA_019930055.1,PDT001128524.2,15334,17151,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN35159593,GCA_031045715.2,PDT001744162.2,19262,21079,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04014917,GCA_003571525.1,PDT000380976.1,149300,151117,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN07291504,GCA_002968495.1,PDT000292900.1,68673,70490,+,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN06546425,GCA_022300135.1,PDT000198415.3,15339,17156,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN07410711,GCA_022299675.1,PDT000226507.2,4137,5954,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04015001,GCA_003571585.1,PDT000380978.1,124153,125970,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN35159613,GCA_031045015.2,PDT001744195.2,8302,10119,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04448246,GCA_022315775.1,PDT000130456.2,11694,13511,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02138587,GCA_000567645.1,PDT000022769.1,41920,43737,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN18874694,GCA_019930265.1,PDT001128534.2,43530,45347,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN11054834,GCA_004924315.1,PDT000497533.1,36662,38479,+,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN18874781,GCA_019927265.1,PDT001128390.2,32534,34351,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN05213503,GCA_001720745.1,PDT000148424.1,15417,17222,+,100.0,99.34
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN03892119,GCA_022316865.1,PDT000077413.3,91,1908,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02581252,GCA_000694755.1,PDT000030684.1,116718,118535,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN18874702,GCA_019930145.1,PDT001128528.2,5312,7129,-,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04514121,GCA_022316305.1,PDT000111518.2,38866,40683,+,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02138590,GCA_000567605.1,PDT000022767.1,30727,32544,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02581240,GCA_000694575.1,PDT000030675.1,14623,16440,+,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02142029,GCA_000417345.1,PDT000015893.2,15279,17096,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04448240,GCA_022316015.1,PDT000130442.2,15440,17257,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02138579,GCA_018075085.1,PDT001009233.1,1465696,1467513,+,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN06350010,GCA_013180465.1,PDT000751083.1,20570,22387,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02581248,GCA_000688215.1,PDT000030152.1,6167,7984,-,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02141966,GCA_000406505.1,PDT000016131.2,16402,18219,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN18874725,GCA_019928365.1,PDT001128445.2,45130,46947,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02138628,GCA_000567425.1,PDT000022759.1,180110,181927,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN18874699,GCA_019930165.1,PDT001128530.2,7836,9653,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN12738927,GCA_008704045.1,PDT000595117.1,122335,124152,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04096282,GCA_022316565.1,PDT000084309.3,15339,17156,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN18874724,GCA_020407015.1,PDT001149149.1,4225,6042,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04448225,GCA_022315675.1,PDT000130462.2,14996,16813,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN30926478,GCA_026413095.1,PDT001502778.1,108870,110687,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02142027,GCA_000417325.1,PDT000015892.2,17860,19677,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02138571,GCA_000567765.2,PDT000022775.2,30269,31552,-,70.74,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN18874776,GCA_019927345.1,PDT001128395.2,15441,17258,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN06350007,GCA_013180525.1,PDT000751085.1,39093,40910,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04448224,GCA_021773985.1,PDT001230705.1,15472,17289,+,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04448237,GCA_022315975.1,PDT000130446.2,12964,14781,+,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04014916,GCA_003571605.1,PDT000380979.1,121432,123249,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02138599,GCA_000567565.1,PDT000022765.1,3956,5773,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02141976,GCA_000417245.1,PDT000015903.2,17860,19677,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04014939,GCA_002056475.1,PDT000197023.1,16435,18252,-,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN31774407,GCA_027144125.3,PDT001488004.3,16351,18168,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02138603,GCA_000567545.1,PDT000022764.1,99356,101173,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02138620,GCA_000567505.1,PDT000022762.1,40626,42443,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN29928035,GCA_024580215.1,PDT001381287.1,81333,83150,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02142028,GCA_000406525.1,PDT000016117.2,900,2717,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN06546424,GCA_022300175.1,PDT000198416.2,15339,17156,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04448226,GCA_022315715.1,PDT000130463.2,12964,14781,+,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02141966,GCA_000406505.1,PDT000016131.2,29153,30970,+,100.0,94.38
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02141983,GCA_000406385.1,PDT000016138.2,5067,6884,+,100.0,94.38
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN38228851,GCA_033726815.1,PDT001986229.1,15339,17156,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04014984,GCA_002180315.1,PDT000217003.1,2161,3978,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN07291505,GCA_003288375.1,PDT000343387.1,68779,70596,-,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN18874707,GCA_019928705.3,PDT001128462.4,34205,36022,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04448220,GCA_022315695.1,PDT000130460.2,15472,17289,+,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN18874741,GCA_019928045.1,PDT001128429.2,31938,33755,+,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04014880,GCA_001874875.1,PDT000158311.1,78619,80436,-,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN10086747,GCA_014840535.1,PDT000855231.1,15594,17411,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02142050,GCA_000406545.1,PDT000016129.2,15334,17151,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04014875,GCA_001875075.1,PDT000158315.1,34789,36606,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04014989,GCA_002202255.1,PDT000219971.1,109482,111299,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04014882,GCA_001875125.1,PDT000158317.1,57045,58862,-,100.0,99.67
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN18874734,GCA_019928185.1,PDT001128436.2,32537,34354,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN10086816,GCA_014840245.1,PDT000855218.1,4352,6169,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04014890,GCA_001922465.1,PDT000175509.1,20923,22740,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN03892126,GCA_022316805.1,PDT000077408.3,91,1908,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN10086828,GCA_014840315.1,PDT000855221.1,34642,36459,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN07291506,GCA_002968475.1,PDT000292899.1,6222,8039,-,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04014950,GCA_003571705.1,PDT000380981.1,97672,99489,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04448234,GCA_022315915.1,PDT000130447.2,463,2280,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN05774081,GCA_022310955.1,PDT000149567.2,15339,17156,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN10086811,GCA_014840295.1,PDT000855219.1,12956,14773,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02141983,GCA_000406385.1,PDT000016138.2,5033,6850,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN29928034,GCA_024580135.1,PDT001381285.1,42312,44129,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04014999,GCA_002180255.1,PDT000217001.1,173871,175688,-,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN30886169,GCA_025367465.1,PDT001428969.1,6455,8272,-,100.0,99.67
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04448221,GCA_022315735.1,PDT000130459.2,15472,17289,+,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02141975,GCA_000417545.1,PDT000015902.2,17860,19677,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04014885,GCA_001875135.1,PDT000158318.1,149877,151694,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN05213502,GCA_001720815.1,PDT000148427.1,125181,126986,+,100.0,99.34
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN26101520,GCA_022431205.1,PDT001256203.1,22606,24423,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN35159638,GCA_031046155.2,PDT001744136.2,8330,10147,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04014981,GCA_003204465.1,PDT000331123.1,57073,58890,+,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN18874688,GCA_019930385.1,PDT001128540.2,4559,6376,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04514123,GCA_022316285.1,PDT000111520.2,38856,40673,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN07450845,GCA_022299695.1,PDT000231448.2,11698,13515,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02581242,GCA_000694615.1,PDT000030677.1,22162,23979,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN18874733,GCA_019928215.1,PDT001128438.2,25966,27783,+,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04448219,GCA_001704235.1,PDT000144503.1,286065,287882,+,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04014920,GCA_003073335.1,PDT000311281.1,31938,33755,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN35159581,GCA_031044835.2,PDT001744202.2,1962,3779,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN12738925,GCA_008704145.1,PDT000595123.1,101631,103448,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02356613,GCA_000566865.1,PDT000022732.1,43969,45786,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02581395,GCA_000688155.1,PDT000030149.1,3072,4889,+,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04514124,GCA_022316195.1,PDT000111521.2,7172,8989,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04014884,GCA_001874715.1,PDT000158309.1,79742,81559,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04448223,GCA_022315755.1,PDT000130458.2,15472,17289,+,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02141985,GCA_000417145.1,PDT000015906.2,15279,17096,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN18874739,GCA_019928075.1,PDT001128431.2,15281,17098,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN30886168,GCA_025367575.1,PDT001428970.1,6455,8272,-,100.0,99.67
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04014970,GCA_002180295.1,PDT000217002.1,125637,127454,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04014961,GCA_002197225.1,PDT000219690.1,86676,88493,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN06350008,GCA_013180515.1,PDT000751084.1,32153,33970,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02138571,GCA_000567765.2,PDT000022775.2,1102,2205,-,60.83,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN05194535,GCA_022315635.1,PDT000133653.2,13471,15288,-,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04448233,GCA_022315575.1,PDT000130468.2,1,1096,+,60.17,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN18874749,GCA_019927905.1,PDT001128422.2,4145,5962,-,100.0,99.67
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04014846,GCA_001875055.2,PDT000158314.2,89510,91327,-,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04014844,GCA_001875025.1,PDT000158312.1,214071,215888,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04014909,GCA_002055855.1,PDT000197021.1,8825,10642,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04514122,GCA_022316245.1,PDT000111519.2,42286,44103,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN10086701,GCA_014840595.1,PDT000855234.1,23549,25366,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN35219276,GCA_031046835.2,PDT001744035.2,5178,6995,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02138579,GCA_000567725.1,PDT000022773.1,3620472,3622289,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02581383,GCA_000694435.1,PDT000030668.1,179808,181625,+,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN06754730,GCA_022299955.1,PDT000201878.2,15339,17156,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04448238,GCA_022316035.1,PDT000130443.2,12964,14781,+,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN07325908,GCA_022299835.1,PDT000222839.2,157,1974,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04014966,GCA_002197505.1,PDT000219691.1,58924,60741,-,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02138579,GCA_018075085.1,PDT001009233.1,32455,34272,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02138569,GCA_000567785.1,PDT000022776.1,125877,127694,+,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN22169094,GCA_020552715.1,PDT001161721.1,204396,206213,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN10405434,GCA_003952045.1,PDT000421930.1,77040,78857,-,100.0,94.38
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN04014888,GCA_002180075.1,PDT000216998.1,9697,11514,+,100.0,100.0
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN02581397,GCA_000694535.1,PDT000030673.1,111790,113607,+,100.0,99.83
pcoA,multicopper oxidase PcoA,STRESS,METAL,COPPER,COPPER,SAMN07291531,GCA_003073675.1,PDT000311282.1,58247,60064,+,100.0,99.83
crpP,ICE-associated protein CrpP,AMR,AMR,FLUOROQUINOLONE,FLUOROQUINOLONE,SAMN09788395,GCA_003969495.1,PDT000425004.1,3267,3464,+,100.0,96.92
crpP,ICE-associated protein CrpP,AMR,AMR,FLUOROQUINOLONE,FLUOROQUINOLONE,SAMN29441894,GCA_024717255.1,PDT001395286.2,167867,168061,-,100.0,96.92
crpP,ICE-associated protein CrpP,AMR,AMR,FLUOROQUINOLONE,FLUOROQUINOLONE,SAMN29441998,GCA_024715145.1,PDT001395181.2,142163,142357,-,100.0,96.92
crpP,ICE-associated protein CrpP,AMR,AMR,FLUOROQUINOLONE,FLUOROQUINOLONE,SAMN29441959,GCA_024715975.1,PDT001395222.2,2679,2873,+,100.0,96.92
crpP,ICE-associated protein CrpP,AMR,AMR,FLUOROQUINOLONE,FLUOROQUINOLONE,SAMN29441933,GCA_024716435.1,PDT001395245.2,97899,98093,-,100.0,98.46
crpP,ICE-associated protein CrpP,AMR,AMR,FLUOROQUINOLONE,FLUOROQUINOLONE,SAMN29441938,GCA_024716295.1,PDT001395238.2,3560,3754,+,100.0,95.38
crpP,ICE-associated protein CrpP,AMR,AMR,FLUOROQUINOLONE,FLUOROQUINOLONE,SAMN29441963,GCA_024715895.1,PDT001395218.2,2701,2895,+,100.0,96.92
crpP,ICE-associated protein CrpP,AMR,AMR,FLUOROQUINOLONE,FLUOROQUINOLONE,SAMN29441796,GCA_024720325.1,PDT001395436.2,144179,144373,-,100.0,96.92
crpP,ICE-associated protein CrpP,AMR,AMR,FLUOROQUINOLONE,FLUOROQUINOLONE,SAMN29441859,GCA_024719085.1,PDT001395374.2,2682,2876,+,100.0,96.92
crpP,ICE-associated protein CrpP,AMR,AMR,FLUOROQUINOLONE,FLUOROQUINOLONE,SAMN29441895,GCA_024717175.1,PDT001395282.2,2703,2897,+,100.0,96.92
crpP,ICE-associated protein CrpP,AMR,AMR,FLUOROQUINOLONE,FLUOROQUINOLONE,SAMN29441920,GCA_024716635.1,PDT001395255.2,139794,139988,-,100.0,98.46
